pred_speed,pred_angle,true_speed,true_angle,speed_rel_error,angle_rel_error,speed_abs_error,angle_abs_error
1.210447311401367188e+02,8.892583847045898438e-02,1.000000000000000000e+02,0.000000000000000000e+00,3.507455065846443176e-02,1.415298599749803543e-02,2.104473114013671875e+01,8.892583847045898438e-02
1.364185485839843750e+02,2.777051925659179688e-02,1.000000000000000000e+02,0.000000000000000000e+00,6.069758161902427673e-02,4.419815260916948318e-03,3.641854858398437500e+01,2.777051925659179688e-02
1.018902893066406250e+02,7.479715347290039062e-02,1.000000000000000000e+02,0.000000000000000000e+00,3.150482196360826492e-03,1.190433651208877563e-02,1.890289306640625000e+00,7.479715347290039062e-02
1.004113159179687500e+02,1.522254943847656250e-02,1.000000000000000000e+02,0.000000000000000000e+00,6.855265237390995026e-04,2.422743942588567734e-03,4.113159179687500000e-01,1.522254943847656250e-02
8.827336120605468750e+01,5.842828750610351562e-02,1.000000000000000000e+02,0.000000000000000000e+00,1.954439841210842133e-02,9.299150668084621429e-03,1.172663879394531250e+01,5.842828750610351562e-02
1.097947235107421875e+02,6.257653713226318359e+00,1.000000000000000000e+02,0.000000000000000000e+00,1.632453873753547668e-02,4.063507076352834702e-03,9.794723510742187500e+00,2.553176879882812500e-02
1.154577636718750000e+02,2.434396743774414062e-02,1.000000000000000000e+02,0.000000000000000000e+00,2.576293982565402985e-02,3.874462563544511795e-03,1.545776367187500000e+01,2.434396743774414062e-02
1.130617294311523438e+02,6.845140457153320312e-02,1.000000000000000000e+02,0.000000000000000000e+00,2.176954969763755798e-02,1.089437864720821381e-02,1.306172943115234375e+01,6.845140457153320312e-02
1.132620697021484375e+02,6.965112686157226562e-02,1.000000000000000000e+02,0.000000000000000000e+00,2.210344932973384857e-02,1.108532119542360306e-02,1.326206970214843750e+01,6.965112686157226562e-02
1.171331024169921875e+02,3.900146484375000000e-02,1.000000000000000000e+02,0.000000000000000000e+00,2.855517156422138214e-02,6.207275670021772385e-03,1.713310241699218750e+01,3.900146484375000000e-02
1.054995422363281250e+02,1.006402969360351562e-01,1.000000000000000000e+02,0.000000000000000000e+00,9.165903553366661072e-03,1.601739972829818726e-02,5.499542236328125000e+00,1.006402969360351562e-01
9.857546997070312500e+01,9.616613388061523438e-02,1.000000000000000000e+02,0.000000000000000000e+00,2.374216681346297264e-03,1.530531514436006546e-02,1.424530029296875000e+00,9.616613388061523438e-02
1.139835128784179688e+02,6.276037693023681641e+00,1.000000000000000000e+02,0.000000000000000000e+00,2.330585569143295288e-02,1.137605868279933929e-03,1.398351287841796875e+01,7.147789001464843750e-03
1.092931518554687500e+02,2.481079101562500000e-02,1.000000000000000000e+02,0.000000000000000000e+00,1.548858638852834702e-02,3.948759753257036209e-03,9.293151855468750000e+00,2.481079101562500000e-02
1.179800033569335938e+02,6.174087524414062500e-03,1.000000000000000000e+02,0.000000000000000000e+00,2.996667288243770599e-02,9.826364694163203239e-04,1.798000335693359375e+01,6.174087524414062500e-03
1.009686431884765625e+02,6.852531433105468750e-02,1.000000000000000000e+02,0.000000000000000000e+00,1.614405307918787003e-03,1.090614218264818192e-02,9.686431884765625000e-01,6.852531433105468750e-02
9.875922393798828125e+01,5.011892318725585938e-02,1.000000000000000000e+02,0.000000000000000000e+00,2.067960100248456001e-03,7.976674474775791168e-03,1.240776062011718750e+00,5.011892318725585938e-02
1.098447570800781250e+02,1.618480682373046875e-02,1.000000000000000000e+02,0.000000000000000000e+00,1.640792936086654663e-02,2.575892023742198944e-03,9.844757080078125000e+00,1.618480682373046875e-02
1.283877258300781250e+02,1.042952537536621094e-01,1.000000000000000000e+02,0.000000000000000000e+00,4.731287807226181030e-02,1.659910380840301514e-02,2.838772583007812500e+01,1.042952537536621094e-01
1.145968780517578125e+02,3.848505020141601562e-02,1.000000000000000000e+02,0.000000000000000000e+00,2.432812936604022980e-02,6.125085987150669098e-03,1.459687805175781250e+01,3.848505020141601562e-02
1.144147415161132812e+02,6.133413314819335938e-02,1.000000000000000000e+02,0.000000000000000000e+00,2.402456849813461304e-02,9.761630557477474213e-03,1.441474151611328125e+01,6.133413314819335938e-02
1.053136444091796875e+02,6.337070465087890625e-02,1.000000000000000000e+02,0.000000000000000000e+00,8.856073953211307526e-03,1.008576061576604843e-02,5.313644409179687500e+00,6.337070465087890625e-02
1.068582077026367188e+02,7.197856903076171875e-02,1.000000000000000000e+02,0.000000000000000000e+00,1.143034640699625015e-02,1.145574450492858887e-02,6.858207702636718750e+00,7.197856903076171875e-02
1.084292297363281250e+02,4.441070556640625000e-02,1.000000000000000000e+02,0.000000000000000000e+00,1.404871605336666107e-02,7.068183273077011108e-03,8.429229736328125000e+00,4.441070556640625000e-02
9.637069702148437500e+01,6.271033763885498047e+00,1.000000000000000000e+02,0.000000000000000000e+00,6.048838142305612564e-03,1.934005995281040668e-03,3.629302978515625000e+00,1.215171813964843750e-02
