pred_speed,pred_angle,true_speed,true_angle,speed_rel_error,angle_rel_error,speed_abs_error,angle_abs_error
1.399064941406250000e+02,2.327003479003906250e-01,1.000000000000000000e+02,0.000000000000000000e+00,6.651082634925842285e-02,3.703540936112403870e-02,3.990649414062500000e+01,2.327003479003906250e-01
1.405025634765625000e+02,1.473836898803710938e-01,1.000000000000000000e+02,0.000000000000000000e+00,6.750427186489105225e-02,2.345684170722961426e-02,4.050256347656250000e+01,1.473836898803710938e-01
1.408290557861328125e+02,2.754445075988769531e-01,1.000000000000000000e+02,0.000000000000000000e+00,6.804842501878738403e-02,4.383835196495056152e-02,4.082905578613281250e+01,2.754445075988769531e-01
1.499692382812500000e+02,2.416715621948242188e-01,1.000000000000000000e+02,0.000000000000000000e+00,8.328206092119216919e-02,3.846322372555732727e-02,4.996923828125000000e+01,2.416715621948242188e-01
1.451560668945312500e+02,2.026176452636718750e-01,1.000000000000000000e+02,0.000000000000000000e+00,7.526011019945144653e-02,3.224759921431541443e-02,4.515606689453125000e+01,2.026176452636718750e-01
1.301291961669921875e+02,6.250142574310302734e+00,1.000000000000000000e+02,0.000000000000000000e+00,5.021532624959945679e-02,5.258942022919654846e-03,3.012919616699218750e+01,3.304290771484375000e-02
1.251422729492187500e+02,1.422657966613769531e-01,1.000000000000000000e+02,9.973309934139251709e-02,4.190379008650779724e-02,6.769288796931505203e-03,2.514227294921875000e+01,4.253269731998443604e-02
1.292773437500000000e+02,4.269886016845703125e-02,1.000000000000000000e+02,9.973309934139251709e-02,4.879557341337203979e-02,9.077280759811401367e-03,2.927734375000000000e+01,5.703423917293548584e-02
1.283370513916015625e+02,1.920166015625000000e-01,1.000000000000000000e+02,9.973309934139251709e-02,4.722841829061508179e-02,1.468737516552209854e-02,2.833705139160156250e+01,9.228350222110748291e-02
1.454788360595703125e+02,1.878066062927246094e-01,1.000000000000000000e+02,9.973309934139251709e-02,7.579805701971054077e-02,1.401733327656984329e-02,4.547883605957031250e+01,8.807350695133209229e-02
1.368473205566406250e+02,9.501266479492187500e-02,1.000000000000000000e+02,9.973309934139251709e-02,6.141220033168792725e-02,7.512804586440324783e-04,3.684732055664062500e+01,4.720434546470642090e-03
1.605641784667968750e+02,8.719635009765625000e-02,1.000000000000000000e+02,9.973309934139251709e-02,1.009402945637702942e-01,1.995285507291555405e-03,6.056417846679687500e+01,1.253674924373626709e-02
1.359808044433593750e+02,6.218998908996582031e+00,1.000000000000000000e+02,9.973309934139251709e-02,5.996800586581230164e-02,2.608858980238437653e-02,3.598080444335937500e+01,1.639194488525390625e-01
1.465570373535156250e+02,6.253823757171630859e+00,1.000000000000000000e+02,9.973309934139251709e-02,7.759506255388259888e-02,2.054604329168796539e-02,4.655703735351562500e+01,1.290946006774902344e-01
1.279752044677734375e+02,2.733211517333984375e-01,1.000000000000000000e+02,9.973309934139251709e-02,4.662534222006797791e-02,2.762739546597003937e-02,2.797520446777343750e+01,1.735880523920059204e-01
1.385946044921875000e+02,2.715773582458496094e-01,1.000000000000000000e+02,9.973309934139251709e-02,6.432434171438217163e-02,2.734986320137977600e-02,3.859460449218750000e+01,1.718442589044570923e-01
1.535155944824218750e+02,4.622864723205566406e-01,1.000000000000000000e+02,9.973309934139251709e-02,8.919265866279602051e-02,5.770215764641761780e-02,5.351559448242187500e+01,3.625533580780029297e-01
1.567638092041015625e+02,2.620429992675781250e-01,1.000000000000000000e+02,9.973309934139251709e-02,9.460634738206863403e-02,2.583242207765579224e-02,5.676380920410156250e+01,1.623098999261856079e-01
1.546785888671875000e+02,2.353129386901855469e-01,1.000000000000000000e+02,9.973309934139251709e-02,9.113097935914993286e-02,2.157820016145706177e-02,5.467858886718750000e+01,1.355798393487930298e-01
1.426816253662109375e+02,2.511167526245117188e-01,1.000000000000000000e+02,9.973309934139251709e-02,7.113604247570037842e-02,2.409345656633377075e-02,4.268162536621093750e+01,1.513836532831192017e-01
1.540018615722656250e+02,2.009973526000976562e-01,1.000000000000000000e+02,9.973309934139251709e-02,9.000310301780700684e-02,1.611670665442943573e-02,5.400186157226562500e+01,1.012642532587051392e-01
1.494199066162109375e+02,2.497582435607910156e-01,1.000000000000000000e+02,9.973309934139251709e-02,8.236651122570037842e-02,2.387724258005619049e-02,4.941990661621093750e+01,1.500251442193984985e-01
1.375157470703125000e+02,3.572874069213867188e-01,1.000000000000000000e+02,9.973309934139251709e-02,6.252624839544296265e-02,4.099103808403015137e-02,3.751574707031250000e+01,2.575542926788330078e-01
1.531847076416015625e+02,2.176866531372070312e-01,1.000000000000000000e+02,9.973309934139251709e-02,8.864118158817291260e-02,1.877289079129695892e-02,5.318470764160156250e+01,1.179535537958145142e-01
1.649375457763671875e+02,6.191509723663330078e+00,1.000000000000000000e+02,9.973309934139251709e-02,1.082292422652244568e-01,3.046363033354282379e-02,6.493754577636718750e+01,1.914086341857910156e-01
1.508536224365234375e+02,1.133213043212890625e-01,1.000000000000000000e+02,9.973309934139251709e-02,8.475603908300399780e-02,2.162629971280694008e-03,5.085362243652343750e+01,1.358820497989654541e-02
1.642915954589843750e+02,1.216306686401367188e-01,1.000000000000000000e+02,9.973309934139251709e-02,1.071526557207107544e-01,3.485106397420167923e-03,6.429159545898437500e+01,2.189756929874420166e-02
1.783936309814453125e+02,4.739332199096679688e-02,1.000000000000000000e+02,9.973309934139251709e-02,1.306560486555099487e-01,8.330133743584156036e-03,7.839363098144531250e+01,5.233977735042572021e-02
1.518340911865234375e+02,6.030006885528564453e+00,1.000000000000000000e+02,9.973309934139251709e-02,8.639015257358551025e-02,5.616760253906250000e-02,5.183409118652343750e+01,3.529114723205566406e-01
